"","score","protein1","protein2"
"32752",0.913,"B3GNT6","GALNT7"
"32753",0.918,"BST1","ENPP3"
"32754",0.927,"BST1","SIRT5"
"32755",0.96,"BST1","NMNAT1"
"32756",0.915,"BST1","NADSYN1"
"32757",0.902,"BST1","PRKG1"
"32758",0.928,"BST1","SIRT6"
"32759",0.951,"BST1","NMNAT2"
"32760",0.931,"BST1","NNMT"
"32761",0.93,"BST1","ENPP1"
"32762",0.934,"BST1","SIRT3"
"32763",0.93,"BST1","PNP"
"32764",0.925,"BST1","SIRT7"
"32765",0.915,"BST1","NADK2"
"32766",0.979,"MAP2K7","MAP3K13"
"32767",0.943,"CETN2","ERCC8"
"32768",0.901,"DET1","ERCC8"
"32769",0.914,"BIVM-ERCC5","ERCC8"
"32770",0.902,"DCAF17","ERCC8"
"32771",0.904,"ERCC8","PHF21A"
"32772",0.99,"ERCC5","ERCC8"
"32773",0.916,"ATP23","ERCC8"
"32774",0.998,"ERCC8","UVSSA"
"32775",0.938,"DTL","ERCC8"
"32776",0.913,"DCAF10","ERCC8"
"32777",0.951,"ERCC8","XPC"
"32778",0.999,"CUL4A","ERCC8"
"32779",0.939,"ERCC8","LIG4"
"32780",0.911,"ERCC8","POLR2D"
"32781",0.935,"ATM","ERCC8"
"32782",0.984,"CUL4B","ERCC8"
"32783",0.903,"DCAF8","ERCC8"
"32784",0.936,"DCAF7","ERCC8"
"32785",0.904,"ERCC8","POLR2K"
"32786",0.902,"ERCC8","POLR2E"
"32787",0.999,"ERCC6","ERCC8"
"32788",0.928,"ERCC8","PRKDC"
"32789",0.918,"ERCC8","NHEJ1"
"32790",0.936,"ERCC8","XRCC4"
"32791",0.902,"DCAF13","ERCC8"
"32792",0.903,"DCAF6","ERCC8"
"32793",0.905,"ERCC8","POLR2B"
"32794",0.902,"ERCC8","POLR2L"
"32795",0.999,"DDB1","ERCC8"
"32796",0.923,"ERCC8","XAB2"
"32797",0.913,"ERCC8","POLR2G"
"32798",0.939,"ERCC8","POLD1"
"32799",0.905,"ERCC8","POLR2J"
"32800",0.963,"ERCC8","POLR2A"
"32801",0.902,"ERCC8","POLR2F"
"32802",0.921,"DCLRE1C","ERCC8"
"32803",0.957,"ERCC8","RAD23B"
"32804",0.933,"ERCC3","ERCC8"
"32805",0.939,"DDA1","ERCC8"
"32806",0.975,"ERCC4","ERCC8"
"32807",0.929,"ERCC8","XRCC5"
"32808",0.915,"ERCC8","XPA"
"32809",0.915,"ERCC2","ERCC8"
"32810",0.928,"ERCC8","XRCC6"
"32811",0.949,"ERCC8","GTF2H2"
"32812",0.914,"COP1","ERCC8"
"32813",0.903,"ERCC8","POLR2H"
"32814",0.958,"MGLL","NDUFA12"
"32815",0.935,"GK2","MGLL"
"32816",0.981,"MGLL","NDUFA5"
"32817",0.908,"MGLL","NDUFB8"
"32818",0.915,"MGLL","NDUFA6"
"32819",0.945,"MGLL","NDUFS6"
"32820",0.926,"LIPF","MGLL"
"32821",0.941,"CNR1","MGLL"
"32822",0.975,"MGLL","NDUFS1"
"32823",0.95,"MGLL","NDUFV2"
"32824",0.92,"MGLL","NAPEPLD"
"32825",0.905,"MGLL","PNLIPRP3"
"32826",0.912,"AKR1B1","MGLL"
"32827",0.925,"CEL","MGLL"
"32828",0.934,"LIPC","MGLL"
"32829",0.904,"ABHD6","MGLL"
"32830",0.945,"MGLL","NDUFA13"
"32831",0.962,"MGLL","NCEH1"
"32832",0.93,"MGLL","NDUFA8"
"32833",0.966,"MGLL","NDUFS2"
"32834",0.911,"MGLL","PNLIPRP1"
"32835",0.908,"AKR1A1","MGLL"
"32836",0.967,"LPL","MGLL"
"32837",0.932,"MGLL","MOGAT1"
"32838",0.94,"MGLL","PNLIP"
"32839",0.956,"MGLL","NDUFS8"
"32840",0.911,"AKR1B10","MGLL"
"32841",0.912,"MGLL","UQCRC2"
"32842",0.937,"GK","MGLL"
"32843",0.967,"MGLL","NDUFS4"
"32844",0.979,"MGLL","PNPLA2"
"32845",0.939,"MGLL","MT-ND1"
"32846",0.981,"MGLL","NDUFV1"
"32847",0.917,"MGLL","NDUFB9"
"32848",0.922,"AGK","MGLL"
"32849",0.918,"H3-3A","MCM2"
"32850",0.977,"H3C12","MCM2"
"32851",0.97,"H3C13","MCM2"
"32852",0.999,"CDT1","MCM2"
"32853",0.976,"CLSPN","MCM2"
"32854",0.902,"MCM2","RPA2"
"32855",0.91,"H4C5","MCM2"
"32856",0.977,"MCM2","POLA1"
"32857",0.998,"MCM2","WDHD1"
"32858",0.999,"GINS3","MCM2"
"32859",0.924,"H3C6","MCM2"
"32860",0.999,"CDC45","MCM2"
"32861",0.909,"H4C8","MCM2"
"32862",0.912,"H4C11","MCM2"
"32863",0.959,"MCM2","POLD1"
"32864",0.999,"MCM2","MCM3"
"32865",0.912,"FEN1","MCM2"
"32866",0.939,"MCM2","PCNA"
"32867",0.964,"MCM2","TONSL"
"32868",0.997,"MCM2","ORC4"
"32869",0.916,"MCM2","RFC3"
"32870",0.945,"H4C9","MCM2"
"32871",0.999,"MCM2","MCM7"
"32872",0.951,"H4C2","MCM2"
"32873",0.999,"CDC7","MCM2"
"32874",0.949,"H3C3","MCM2"
"32875",0.914,"MCM2","RRM1"
"32876",0.944,"DNAJC9","MCM2"
"32877",0.909,"H4-16","MCM2"
"32878",0.951,"MCM2","PRIM2"
"32879",0.945,"H3C2","MCM2"
"32880",0.955,"H3C10","MCM2"
"32881",0.909,"H4C14","MCM2"
"32882",0.941,"H4C3","MCM2"
"32883",0.923,"H3C4","MCM2"
"32884",0.909,"H4C15","MCM2"
"32885",0.958,"H3C1","MCM2"
"32886",0.909,"H4C4","MCM2"
"32887",0.954,"H3C8","MCM2"
"32888",0.998,"MCM2","ORC1"
"32889",0.981,"MCM2","MCM8"
"32890",0.997,"MCM2","POLE"
"32891",0.939,"H3C11","MCM2"
"32892",0.948,"H4C13","MCM2"
"32893",0.92,"H3C15","MCM2"
"32894",0.928,"H4C12","MCM2"
"32895",0.998,"MCM2","ORC5"
"32896",0.914,"MCM2","SSRP1"
"32897",0.998,"MCM2","TIMELESS"
"32898",0.95,"H3C7","MCM2"
"32899",0.932,"MCM2","MCMBP"
"32900",0.909,"H4C1","MCM2"
"32901",0.996,"DBF4","MCM2"
"32902",0.924,"H3C14","MCM2"
"32903",0.999,"GINS4","MCM2"
"32904",0.997,"MCM10","MCM2"
"32905",0.983,"OSBPL1A","RAB7A"
"32906",0.974,"RAB7A","TBC1D15"
"32907",0.947,"CHM","RAB7A"
"32908",0.914,"CCZ1","RAB7A"
"32909",0.924,"RAB7A","RUBCN"
"32910",0.999,"RAB7A","RILP"
"32911",0.908,"CCZ1B","RAB7A"
"32912",0.948,"RAB5A","RAB7A"
"32913",0.919,"GDI1","RAB7A"
"32914",0.902,"MON1A","RAB7A"
"32915",0.918,"GDI2","RAB7A"
"32916",0.917,"RAB7A","RAB7B"
"32917",0.921,"PDZD8","RAB7A"
"32918",0.965,"FYCO1","RAB7A"
"32919",0.944,"ARF1","GOLPH3"
"32920",0.949,"GOLPH3","SEC24B"
"32921",0.92,"GOLPH3","PPEF1"
"32922",0.971,"GOLPH3","MYO18A"
"32923",0.902,"GOLGA2","GOLPH3"
"32924",0.996,"GUCA2B","NPR3"
"32925",0.999,"NPPA","NPR3"
"32926",0.995,"GUCA2A","NPR3"
"32927",0.999,"NPPB","NPR3"
"32928",0.999,"NPPC","NPR3"
"32929",0.976,"BCAN","VCAN"
"32930",0.951,"BGN","VCAN"
"32931",0.955,"PTPRZ1","VCAN"
"32932",0.996,"CD44","VCAN"
"32933",0.922,"SELL","VCAN"
"32934",0.988,"ACAN","VCAN"
"32935",0.91,"FBN1","VCAN"
"32936",0.929,"NRAS","RASGRF2"
"32937",0.925,"CALML5","RASGRF2"
"32938",0.939,"RASGRF1","RASGRF2"
"32939",0.925,"CALML6","RASGRF2"
"32940",0.92,"PRKACG","RASGRF2"
"32941",0.925,"CALML3","RASGRF2"
"32942",0.925,"MRAS","RASGRF2"
"32943",0.926,"CALM3","RASGRF2"
"32944",0.92,"PRKACA","RASGRF2"
"32945",0.925,"CALML4","RASGRF2"
"32946",0.929,"HRAS","RASGRF2"
"32947",0.922,"PRKACB","RASGRF2"
"32948",0.999,"MLH3","MSH3"
"32949",0.999,"MSH3","PMS1"
"32950",0.91,"BRCA1","MSH3"
"32951",0.967,"MSH3","SLX4"
"32952",0.986,"EXO1","MSH3"
"32953",0.922,"MSH3","OGG1"
"32954",0.938,"ATM","MSH3"
"32955",0.999,"MSH3","PMS2"
"32956",0.946,"MSH3","POLD1"
"32957",0.958,"MSH3","PCNA"
"32958",0.929,"MSH3","XRCC6"
"32959",0.936,"ERCC4","MSH3"
"32960",0.904,"MSH3","XPA"
"32961",0.918,"CPEB4","PLK1"
"32962",0.907,"CCNB2","CPEB4"
"32963",0.921,"CDK1","CPEB4"
"32964",0.962,"PAPPA","STC2"
"32965",0.936,"FBXW11","GLI2"
"32966",0.932,"FBXO4","FBXW11"
"32967",0.929,"FBXW11","YAP1"
"32968",0.993,"BTRC","FBXW11"
"32969",0.993,"CTNNB1","FBXW11"
"32970",0.98,"FBXW11","SKP2"
"32971",0.928,"FBXW11","WWTR1"
"32972",0.962,"FBXW11","NFKBIB"
"32973",0.915,"CUL7","FBXW11"
"32974",0.915,"FBXW11","GSK3B"
"32975",0.918,"FBXW11","FBXW7"
"32976",0.907,"CDC25A","FBXW11"
"32977",0.999,"CUL1","FBXW11"
"32978",0.938,"FBXW11","PER1"
"32979",0.921,"FBXW11","PER3"
"32980",0.919,"FBXO2","FBXW11"
"32981",0.96,"FBXW11","GLI3"
"32982",0.962,"CHTOP","THOC3"
"32983",0.999,"THOC3","THOC5"
"32984",0.999,"ALYREF","THOC3"
"32985",0.989,"CYLD","THOC3"
"32986",0.984,"SARNP","THOC3"
"32987",0.999,"THOC3","THOC7"
"32988",0.999,"DDX39B","THOC3"
"32989",0.999,"THOC3","THOC6"
"32990",0.986,"GLI2","THOC3"
"32991",0.977,"DNAH5","DNALI1"
"32992",0.968,"DNAH5","DNAL1"
"32993",0.916,"DNAAF2","DNAH5"
"32994",0.965,"CCDC114","DNAH5"
"32995",0.997,"DNAH5","DNAI2"
"32996",0.964,"DNAAF1","DNAH5"
"32997",0.947,"DNAH12","DNAH5"
"32998",0.935,"DNAH5","RSPH9"
"32999",0.995,"DNAH5","DNAI1"
"33000",0.946,"BUD31","WDR70"
"33001",0.911,"CRNKL1","WDR70"
"33002",0.935,"CPLANE1","WDR70"
"33003",0.92,"PRPF8","WDR70"
"33004",0.919,"SLC1A2","SLC1A3"
"33005",0.914,"ITGB3","TNC"
"33006",0.912,"SDC1","TNC"
"33007",0.91,"ITGB6","TNC"
"33008",0.917,"ITGB1","TNC"
"33009",0.953,"SDC4","TNC"
"33010",0.911,"ITGA8","TNC"
"33011",0.931,"AMBP","ITIH3"
"33012",0.979,"AMBP","F2"
"33013",0.916,"AMBP","HPX"
"33014",0.917,"AMBP","GC"
"33015",0.915,"AMBP","B2M"
"33016",0.97,"ALB","AMBP"
"33017",0.936,"AMBP","SERPINC1"
"33018",0.931,"AMBP","FGB"
"33019",0.97,"AMBP","ITIH2"
"33020",0.951,"AMBP","ITIH1"
"33021",0.932,"AHSG","AMBP"
"33022",0.945,"AMBP","FGA"
"33023",0.946,"ARRDC3","WWP2"
"33024",0.992,"ARRDC3","NEDD4"
"33025",0.934,"ADRB2","ARRDC3"
"33026",0.921,"SLF1","TP53BP1"
"33027",0.922,"PSMD12","SLF1"
"33028",0.959,"SLF1","SMC5"
"33029",0.947,"CDC45","SLF1"
"33030",0.916,"MCM3","SLF1"
"33031",0.999,"SLF1","SLF2"
"33032",0.967,"CENPE","KIF20A"
"33033",0.913,"CENPC","CENPE"
"33034",0.901,"CENPB","CENPE"
"33035",0.956,"CDCA8","CENPE"
"33036",0.914,"CENPE","HJURP"
"33037",0.917,"CCNA2","CENPE"
"33038",0.935,"BUB3","CENPE"
"33039",0.942,"CENPE","MAD2L1"
"33040",0.981,"ASPM","CENPE"
"33041",0.993,"CENPA","CENPE"
"33042",0.929,"CENPE","NUSAP1"
"33043",0.973,"CDK1","CENPE"
"33044",0.906,"CENPE","CENPH"
"33045",0.975,"AURKB","CENPE"
"33046",0.921,"CENPE","MKI67"
"33047",0.932,"CENPE","KIF15"
"33048",0.999,"BUB1B","CENPE"
"33049",0.977,"CENPE","PLK1"
"33050",0.95,"CENPE","KIF20B"
"33051",0.936,"CENPE","CEP55"
"33052",0.996,"CENPE","NUF2"
"33053",0.968,"CENPE","TTK"
"33054",0.926,"CENPE","TOP2A"
"33055",0.988,"CENPE","KIF2C"
"33056",0.963,"BIRC5","CENPE"
"33057",0.99,"CENPE","PRC1"
"33058",0.957,"CENPE","KIF4A"
"33059",0.942,"CCNB2","CENPE"
"33060",0.999,"CENPE","CENPF"
"33061",0.989,"CDC20","CENPE"
"33062",0.991,"BUB1","CENPE"
"33063",0.926,"CENPE","HMMR"
"33064",0.93,"CCR5","ENPEP"
"33065",0.925,"AGT","ENPEP"
"33066",0.901,"CXCR4","ENPEP"
"33067",0.911,"ACTG1","CASP6"
"33068",0.903,"APP","CASP6"
"33069",0.942,"CASP6","LMNB2"
"33070",0.952,"CASP6","CASP9"
"33071",0.94,"CASP6","LMNA"
"33072",0.922,"CASP1","CASP6"
"33073",0.946,"ACTB","CASP6"
"33074",0.955,"CASP3","CASP6"
"33075",0.997,"CASP6","CASP8"
"33076",0.999,"HNF4A","LEF1"
"33077",0.906,"LEF1","PYGO1"
"33078",0.993,"LEF1","NLK"
"33079",0.919,"CTNND2","LEF1"
"33080",0.963,"LEF1","RUNX1"
"33081",0.999,"LEF1","SMAD4"
"33082",0.966,"HDAC1","LEF1"
"33083",0.978,"LEF1","SMAD3"
"33084",0.988,"FHL2","LEF1"
"33085",0.971,"JUP","LEF1"
"33086",0.954,"CTBP2","LEF1"
"33087",0.947,"LEF1","PYGO2"
"33088",0.94,"LEF1","RUVBL1"
"33089",0.955,"LEF1","TLE1"
"33090",0.961,"CTBP1","LEF1"
"33091",0.999,"CTNNB1","LEF1"
"33092",0.953,"LEF1","SOX17"
"33093",0.964,"AXIN2","LEF1"
"33094",0.992,"EGF","FGF7"
"33095",0.937,"EGF","PDGFD"
"33096",0.911,"EGF","PIK3R1"
"33097",0.997,"EGF","NTRK1"
"33098",0.998,"EGF","TGFA"
"33099",0.973,"EGF","KIT"
"33100",0.936,"EGF","FGFR2"
"33101",0.999,"EGF","ERBB2"
"33102",0.955,"EGF","PDGFB"
"33103",0.902,"EGF","FLT1"
"33104",0.942,"CSF1","EGF"
"33105",0.993,"EGF","FGF5"
"33106",0.972,"EGF","NRG1"
"33107",0.999,"EGF","EGFR"
"33108",0.933,"AKT1","EGF"
"33109",0.968,"EGF","INSR"
"33110",0.916,"CCL11","EGF"
"33111",0.991,"EGF","FGF8"
"33112",0.95,"EGF","PDGFA"
"33113",0.999,"EGF","ERBB4"
"33114",0.988,"EGF","FGF9"
"33115",0.975,"EGF","FGF13"
"33116",0.988,"EGF","FGF17"
"33117",0.988,"EGF","FGF18"
"33118",0.96,"EGF","FN1"
"33119",0.988,"EGF","FGF3"
"33120",0.902,"EGF","FGFR3"
"33121",0.935,"EGF","PDGFC"
"33122",0.998,"AREG","EGF"
"33123",0.922,"EGF","SRC"
"33124",0.999,"EGF","ERBB3"
"33125",0.926,"EGF","FGFR1"
"33126",0.922,"CD44","EGF"
"33127",0.938,"EGF","P4HB"
"33128",0.924,"EGF","SHC1"
"33129",0.945,"EGF","MET"
"33130",0.973,"BTC","EGF"
"33131",0.988,"EGF","FGF16"
"33132",0.997,"EGF","IGF1R"
"33133",0.995,"EGF","IGF1"
"33134",0.929,"EGF","EPGN"
"33135",0.995,"EGF","GRB2"
"33136",0.914,"EGF","TDGF1"
"33137",0.995,"EGF","INS"
"33138",0.901,"GSPT1","PAPSS1"
"33139",0.909,"HBS1L","PAPSS1"
"33140",0.972,"BPNT1","PAPSS1"
"33141",0.976,"PAPSS1","SUOX"
"33142",0.925,"PAPSS1","SLC26A2"
"33143",0.921,"EEF1A1","PAPSS1"
"33144",0.951,"PAPSS1","PAPSS2"
"33145",0.99,"FLAD1","PAPSS1"
"33146",0.998,"HSPA5","SIL1"
"33147",0.903,"MRPL9","SIL1"
"33148",0.909,"RPS11","SIL1"
"33149",0.909,"RPS3","SIL1"
"33150",0.982,"FAU","SIL1"
"33151",0.909,"RPL5","SIL1"
"33152",0.909,"RPS18","SIL1"
"33153",0.909,"RPL23","SIL1"
"33154",0.904,"MRPS16","SIL1"
"33155",0.997,"HYOU1","SIL1"
"33156",0.909,"RPL11","SIL1"
"33157",0.909,"SIL1","TUFM"
"33158",0.911,"MRPL17","SIL1"
"33159",0.909,"RPS15","SIL1"
"33160",0.903,"MRPS6","SIL1"
"33161",0.902,"MRPL21","SIL1"
"33162",0.909,"RPL23A","SIL1"
"33163",0.91,"MRPL12","SIL1"
"33164",0.907,"MRPL36","SIL1"
"33165",0.922,"CALM3","IQCG"
"33166",0.904,"CALM2","IQCG"
"33167",0.904,"CALM1","IQCG"
"33168",0.908,"LSG1","TSR1"
"33169",0.923,"LSG1","RPL32"
"33170",0.917,"BMS1","LSG1"
"33171",0.999,"LSG1","NMD3"
"33172",0.902,"LSG1","RPL29"
"33173",0.987,"LSG1","RPL27"
"33174",0.902,"BRIX1","LSG1"
"33175",0.932,"LSG1","RPL38"
"33176",0.904,"LSG1","RPL13A"
"33177",0.971,"FTSJ3","LSG1"
"33178",0.969,"GTPBP4","LSG1"
"33179",0.915,"LSG1","RPL31"
"33180",0.97,"LSG1","RPL3"
"33181",0.923,"LSG1","NOC2L"
"33182",0.916,"LSG1","NOB1"
"33183",0.952,"LSG1","RPF2"
"33184",0.942,"LSG1","RPL24"
"33185",0.948,"LSG1","RPL23A"
"33186",0.995,"EIF6","LSG1"
"33187",0.995,"LSG1","PA2G4"
"33188",0.903,"LSG1","PES1"
"33189",0.93,"LSG1","RPL4"
"33190",0.91,"EBNA1BP2","LSG1"
"33191",0.902,"LSG1","RPL30"
"33192",0.92,"LSG1","MAK16"
"33193",0.99,"LSG1","RPL5"
"33194",0.904,"LSG1","RPL10"
"33195",0.975,"LSG1","ZNF622"
"33196",0.902,"LSG1","RPL15"
"33197",0.911,"LSG1","RPL23"
"33198",0.903,"LSG1","RPL36"
"33199",0.926,"LSG1","RPL7A"
"33200",0.907,"LSG1","MRTO4"
"33201",0.91,"LSG1","RPL9"
"33202",0.91,"LSG1","RPL7"
"33203",0.941,"LSG1","RPL11"
"33204",0.966,"LSG1","SDAD1"
"33205",0.912,"AGPAT3","GPAM"
"33206",0.957,"GPAM","GPD1L"
"33207",0.931,"GK","GPAM"
"33208",0.919,"GPAM","GPAT2"
"33209",0.911,"AGPAT4","GPAM"
"33210",0.926,"AGPAT2","GPAM"
"33211",0.911,"AGK","GPAM"
"33212",0.992,"GPAM","GPAT4"
"33213",0.955,"GPAM","GPD2"
"33214",0.913,"GPAM","LPGAT1"
"33215",0.932,"AGPAT1","GPAM"
"33216",0.921,"ADPRM","GPAM"
"33217",0.972,"GPAM","GPD1"
"33218",0.93,"GK2","GPAM"
"33219",0.947,"SKA3","SPDL1"
"33220",0.958,"BUB1B","SPDL1"
"33221",0.95,"CENPF","SPDL1"
"33222",0.927,"SKA2","SPDL1"
"33223",0.946,"SKA1","SPDL1"
"33224",0.917,"BOD1","SPDL1"
"33225",0.924,"PRKACA","TRPV5"
"33226",0.926,"PRKACG","TRPV5"
"33227",0.907,"PRKCA","TRPV5"
"33228",0.902,"PRKCB","TRPV5"
"33229",0.903,"KL","TRPV5"
"33230",0.915,"MCOLN3","TRPV5"
"33231",0.913,"S100A10","TRPV5"
"33232",0.923,"PRKACB","TRPV5"
"33233",0.929,"ABCA2","ABCB6"
"33234",0.926,"ABCB6","ABCG8"
"33235",0.928,"ABCB6","ABCG5"
"33236",0.943,"ABCB6","ABCD4"
"33237",0.979,"UBE2B","UBE2V1"
"33238",0.924,"UBA7","UBE2B"
"33239",0.997,"RNF40","UBE2B"
"33240",0.989,"UBA1","UBE2B"
"33241",0.998,"RNF20","UBE2B"
"33242",0.985,"UBE2B","UBR1"
"33243",0.975,"UBE2A","UBE2B"
"33244",0.929,"UBE2B","UBE2N"
"33245",0.975,"UBE2B","UBR2"
"33246",0.966,"UBE2B","UBE2V2"
"33247",0.901,"UBC","UBE2B"
"33248",0.947,"RPS27A","UBE2B"
"33249",0.923,"PITX1","TBX4"
"33250",0.905,"AFF4","ELOC"
"33251",0.918,"AFF4","WDR61"
"33252",0.958,"AFF4","SUPT5H"
"33253",0.96,"AFF4","CDC73"
"33254",0.987,"AFF4","EAF2"
"33255",0.999,"AFF1","AFF4"
"33256",0.938,"AFF4","RTF1"
"33257",0.952,"AFF4","CTR9"
"33258",0.943,"AFF4","NELFE"
"33259",0.924,"AFF4","TCEA2"
"33260",0.992,"AFF4","EAF1"
"33261",0.917,"AFF4","NELFA"
"33262",0.903,"AFF4","ELP4"
"33263",0.909,"AFF4","ERCC6"
"33264",0.922,"AFF4","ZC3H8"
"33265",0.919,"AFF4","NELFB"
"33266",0.936,"AFF4","ELOA"
"33267",0.924,"AFF4","KMT2A"
"33268",0.999,"AFF4","CDK9"
"33269",0.923,"AFF4","ICE1"
"33270",0.998,"AFF4","ELL3"
"33271",0.999,"AFF4","MLLT3"
"33272",0.94,"AFF4","LEO1"
"33273",0.999,"MED11","MED20"
"33274",0.999,"MED20","MED6"
"33275",0.999,"MED1","MED20"
"33276",0.999,"MED14","MED20"
"33277",0.996,"MED20","MED24"
"33278",0.945,"MED13L","MED20"
"33279",0.999,"MED20","MED21"
"33280",0.976,"CDK19","MED20"
"33281",0.981,"MED13","MED20"
"33282",0.961,"MED20","POLR2A"
"33283",0.939,"MED20","POLR2J"
"33284",0.996,"MED20","MED23"
"33285",0.999,"MED20","MED30"
"33286",0.999,"MED12","MED20"
"33287",0.998,"MED20","MED9"
"33288",0.999,"MED20","MED8"
"33289",0.999,"MED19","MED20"
"33290",0.989,"MED20","MED25"
"33291",0.986,"CDK8","MED20"
"33292",0.997,"MED16","MED20"
"33293",0.999,"MED18","MED20"
"33294",0.999,"MED20","MED27"
"33295",0.999,"MED20","MED29"
"33296",0.999,"MED20","MED7"
"33297",0.98,"CCNC","MED20"
"33298",0.921,"GTF2B","MED20"
"33299",0.999,"MED20","MED22"
"33300",0.988,"TARBP2","XPO5"
"33301",0.999,"RAN","XPO5"
"33302",0.929,"EIF4E","XPO5"
"33303",0.929,"DCP2","XPO5"
"33304",0.906,"LIMD1","XPO5"
"33305",0.952,"ILF3","XPO5"
"33306",0.995,"DICER1","XPO5"
"33307",0.943,"DDX6","XPO5"
"33308",0.907,"NUP153","XPO5"
"33309",0.931,"DHX9","XPO5"
"33310",0.962,"TNRC6A","XPO5"
"33311",0.946,"DROSHA","XPO5"
"33312",0.978,"AGO1","XPO5"
"33313",0.991,"GATA4","SRF"
"33314",0.999,"MRTFA","SRF"
"33315",0.978,"NKX2-5","SRF"
"33316",0.93,"NFATC3","SRF"
"33317",0.95,"FOS","SRF"
"33318",0.999,"MYOCD","SRF"
"33319",0.918,"NFATC2","SRF"
"33320",0.919,"SRF","SRFBP1"
"33321",0.923,"NFATC1","SRF"
"33322",0.919,"ETS1","SRF"
"33323",0.991,"FOXG1","SRF"
"33324",0.924,"NFATC4","SRF"
"33325",0.978,"MRTFB","SRF"
"33326",0.985,"ELK1","SRF"
"33327",0.998,"ELK4","SRF"
"33328",0.988,"PLXND1","SEMA3C"
"33329",0.998,"NRP1","SEMA3C"
"33330",0.965,"PLXNA1","SEMA3C"
"33331",0.961,"PLXNA2","SEMA3C"
"33332",0.992,"NRP2","SEMA3C"
"33333",0.996,"NRP2","SEMA3A"
"33334",0.999,"PLXNA2","SEMA3A"
"33335",0.999,"PLXNA3","SEMA3A"
"33336",0.999,"PLXNA4","SEMA3A"
"33337",0.999,"PLXNA1","SEMA3A"
"33338",0.999,"NRP1","SEMA3A"
"33339",0.945,"PLXND1","SEMA3A"
"33340",0.999,"NRP1","SEMA3B"
"33341",0.999,"NRP1","PLXNA1"
"33342",0.997,"NRP1","VEGFB"
"33343",0.998,"NRP1","SEMA3D"
"33344",0.999,"NRP1","PLXNA4"
"33345",0.933,"NRP1","ROBO1"
"33346",0.993,"FLT1","NRP1"
"33347",0.985,"NRP1","PLXND1"
"33348",0.944,"NRP1","SEMA4A"
"33349",0.943,"NRP1","PLXNB1"
"33350",0.904,"NRP1","VEGFC"
"33351",0.999,"L1CAM","NRP1"
"33352",0.997,"NRP1","PGF"
"33353",0.967,"NRP1","NRP2"
"33354",0.996,"NRP1","SEMA3E"
"33355",0.995,"GIPC1","NRP1"
"33356",0.999,"NRP1","PLXNA3"
"33357",0.999,"NRP1","PLXNA2"
"33358",0.915,"CREB5","CREM"
"33359",0.92,"ATF4","CREM"
"33360",0.933,"CREB3L4","CREM"
"33361",0.916,"CREB3L2","CREM"
"33362",0.922,"BCL2","CREM"
"33363",0.923,"CREB3","CREM"
"33364",0.906,"ATF6B","CREM"
"33365",0.947,"CREM","FHL5"
"33366",0.99,"CREB1","CREM"
"33367",0.905,"CREB3L1","CREM"
"33368",0.908,"COL6A5","GP6"
"33369",0.999,"APBA1","CASK"
"33370",0.913,"APBA1","NRXN1"
"33371",0.981,"APBA1","LIN7C"
"33372",0.998,"APBA1","APP"
"33373",0.995,"APBA1","STXBP1"
"33374",0.992,"APBA1","LIN7A"
"33375",0.923,"PIK3CD","PIP5K1B"
"33376",0.928,"PIK3CG","PIP5K1B"
"33377",0.91,"PIP4P2","PIP5K1B"
"33378",0.92,"PIK3C2A","PIP5K1B"
"33379",0.911,"ACTB","PIP5K1B"
"33380",0.919,"PIP5K1B","SYNJ1"
"33381",0.902,"PIP5K1B","ROCK1"
"33382",0.907,"PIP5K1B","SCIN"
"33383",0.916,"PIP4K2B","PIP5K1B"
"33384",0.907,"ACTN1","PIP5K1B"
"33385",0.934,"PIP5K1B","PIP5KL1"
"33386",0.908,"PIK3C2B","PIP5K1B"
"33387",0.933,"PIK3CB","PIP5K1B"
"33388",0.913,"INPP5B","PIP5K1B"
"33389",0.964,"PI4KB","PIP5K1B"
"33390",0.942,"PIP5K1B","PIP5K1C"
"33391",0.934,"ARF6","PIP5K1B"
"33392",0.903,"INPP5F","PIP5K1B"
"33393",0.923,"PIK3C2G","PIP5K1B"
"33394",0.921,"PIP5K1B","RHOA"
"33395",0.917,"PIP5K1B","PTEN"
"33396",0.941,"PIP5K1A","PIP5K1B"
"33397",0.905,"ACTG1","PIP5K1B"
"33398",0.902,"PIP5K1B","ROCK2"
"33399",0.921,"PIP4K2A","PIP5K1B"
"33400",0.917,"PIP4P1","PIP5K1B"
"33401",0.921,"OCRL","PIP5K1B"
"33402",0.922,"GSN","PIP5K1B"
"33403",0.919,"PIK3R1","PIP5K1B"
"33404",0.909,"PIP5K1B","RAC3"
"33405",0.944,"INPP5E","PIP5K1B"
"33406",0.911,"PIP4K2C","PIP5K1B"
"33407",0.936,"PI4K2A","PIP5K1B"
"33408",0.923,"PIP5K1B","SYNJ2"
"33409",0.974,"TNPO1","TNPO3"
"33410",0.948,"RAN","TNPO3"
"33411",0.939,"ALDH9A1","HIBADH"
"33412",0.938,"ABAT","HIBADH"
"33413",0.998,"HIBADH","HIBCH"
"33414",0.903,"AOX1","HIBADH"
"33415",0.929,"ALDH3A2","HIBADH"
"33416",0.927,"ALDH7A1","HIBADH"
"33417",0.941,"ALDH1B1","HIBADH"
"33418",0.908,"HIBADH","PCCB"
"33419",0.906,"HIBADH","PCCA"
"33420",0.996,"ALDH6A1","HIBADH"
